"시점","읍·면·동별(1)","산업대분류별(1)",사업체수 (개),종사자수 (명)
"2023","전체","TT 전체 산업",401008,1555085
"2023","중구","TT 전체 산업",17407,69849
"2023","서구","TT 전체 산업",11146,46204
"2023","동구","TT 전체 산업",17620,78014
"2023","영도구","TT 전체 산업",11843,47016
"2023","부산진구","TT 전체 산업",44530,174656
"2023","동래구","TT 전체 산업",28059,96526
"2023","남구","TT 전체 산업",23686,89505
"2023","북구","TT 전체 산업",20780,65424
"2023","해운대구","TT 전체 산업",40668,157466
"2023","사하구","TT 전체 산업",29208,112556
"2023","금정구","TT 전체 산업",26080,96451
"2023","강서구","TT 전체 산업",31277,151971
"2023","연제구","TT 전체 산업",24131,97402
"2023","수영구","TT 전체 산업",20369,66064
"2023","사상구","TT 전체 산업",35210,120962
"2023","기장군","TT 전체 산업",18994,85019
